iter	Passed	Remaining
0	64	19198
1	84	12583
2	100	9975
3	117	8675
4	132	7815
5	149	7341
6	167	6993
7	184	6744
8	202	6544
9	222	6456
10	241	6352
11	255	6140
12	271	5994
13	286	5861
14	302	5745
15	319	5663
16	336	5594
17	351	5514
18	368	5445
19	384	5376
20	399	5308
21	410	5193
22	426	5138
23	443	5100
24	460	5067
25	472	4977
26	484	4899
27	502	4882
28	516	4824
29	531	4779
30	545	4735
31	560	4697
32	576	4664
33	588	4606
34	605	4583
35	620	4552
36	634	4513
37	650	4484
38	667	4468
39	681	4427
40	698	4411
41	714	4387
42	729	4361
43	745	4338
44	760	4311
45	777	4291
46	790	4255
47	809	4250
48	824	4225
49	843	4219
50	862	4212
51	876	4182
52	891	4153
53	904	4121
54	918	4093
55	933	4068
56	946	4033
57	959	4002
58	978	3995
59	992	3971
60	1010	3959
61	1028	3946
62	1043	3923
63	1056	3897
64	1071	3874
65	1091	3869
66	1113	3873
67	1138	3885
68	1170	3917
69	1186	3897
70	1204	3883
71	1231	3899
72	1249	3886
73	1268	3873
74	1287	3863
75	1305	3848
76	1321	3828
77	1337	3806
78	1351	3780
79	1365	3754
80	1378	3726
81	1397	3715
82	1411	3691
83	1426	3666
84	1443	3650
85	1459	3630
86	1471	3603
87	1486	3581
88	1507	3574
89	1530	3571
90	1551	3563
91	1569	3548
92	1585	3528
93	1598	3503
94	1613	3481
95	1631	3467
96	1647	3447
97	1660	3423
98	1679	3409
99	1697	3395
100	1712	3374
101	1729	3357
102	1743	3334
103	1755	3309
104	1772	3291
105	1789	3275
106	1806	3258
107	1824	3243
108	1838	3222
109	1852	3199
110	1868	3181
111	1885	3164
112	1904	3152
113	1917	3128
114	1934	3112
115	1951	3095
116	1969	3080
117	1986	3064
118	2004	3049
119	2021	3031
120	2042	3022
121	2066	3015
122	2111	3039
123	2134	3029
124	2157	3020
125	2182	3014
126	2200	2997
127	2221	2985
128	2240	2969
129	2262	2959
130	2282	2944
131	2300	2928
132	2323	2916
133	2345	2906
134	2364	2889
135	2384	2875
136	2403	2859
137	2423	2845
138	2440	2826
139	2452	2802
140	2467	2782
141	2483	2763
142	2501	2746
143	2518	2728
144	2531	2706
145	2548	2688
146	2566	2671
147	2584	2653
148	2600	2634
149	2616	2616
150	2637	2602
151	2652	2582
152	2668	2564
153	2690	2550
154	2709	2534
155	2727	2517
156	2745	2501
157	2768	2487
158	2786	2471
159	2806	2455
160	2826	2440
161	2843	2421
162	2862	2406
163	2879	2387
164	2901	2373
165	2916	2354
166	2934	2337
167	2952	2319
168	2966	2299
169	2985	2283
170	3001	2264
171	3017	2245
172	3031	2225
173	3047	2207
174	3062	2187
175	3083	2172
176	3102	2155
177	3121	2139
178	3137	2120
179	3158	2105
180	3172	2085
181	3186	2066
182	3201	2046
183	3217	2028
184	3236	2011
185	3256	1996
186	3274	1978
187	3295	1963
188	3314	1946
189	3331	1928
190	3350	1912
191	3369	1895
192	3390	1879
193	3409	1862
194	3425	1844
195	3443	1827
196	3459	1808
197	3477	1791
198	3491	1771
199	3516	1758
200	3533	1740
201	3549	1721
202	3567	1704
203	3587	1688
204	3605	1670
205	3624	1653
206	3642	1636
207	3668	1622
208	3686	1605
209	3703	1587
210	3718	1568
211	3735	1550
212	3748	1530
213	3759	1510
214	3777	1493
215	3795	1476
216	3811	1457
217	3832	1441
218	3847	1423
219	3865	1405
220	3885	1388
221	3906	1372
222	3926	1355
223	3944	1338
224	3958	1319
225	3972	1300
226	3991	1283
227	4007	1265
228	4029	1249
229	4046	1231
230	4071	1216
231	4109	1204
232	4124	1185
233	4140	1167
234	4157	1150
235	4176	1132
236	4196	1115
237	4220	1099
238	4232	1080
239	4245	1061
240	4258	1042
241	4269	1023
242	4281	1004
243	4295	985
244	4309	967
245	4322	948
246	4334	930
247	4351	912
248	4369	894
249	4382	876
250	4396	858
251	4412	840
252	4430	822
253	4446	805
254	4462	787
255	4480	770
256	4498	752
257	4515	735
258	4529	717
259	4543	698
260	4555	680
261	4570	662
262	4586	645
263	4601	627
264	4618	610
265	4635	592
266	4650	574
267	4665	557
268	4680	539
269	4695	521
270	4709	503
271	4724	486
272	4746	469
273	4761	451
274	4777	434
275	4797	417
276	4813	399
277	4830	382
278	4848	364
279	4861	347
280	4874	329
281	4892	312
282	4906	294
283	4927	277
284	4943	260
285	4961	242
286	4973	225
287	4989	207
288	5006	190
289	5021	173
290	5036	155
291	5052	138
292	5069	121
293	5083	103
294	5099	86
295	5114	69
296	5135	51
297	5150	34
298	5165	17
299	5184	0
